@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureTreeSize numeric
@attribute measureNumRules numeric

@data

wisconsin-breast-cancer,1,10,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,630,69,65,4,0,94.202899,5.797101,0,0.874659,0.093408,0.221172,20.628696,46.436444,64.317535,17.847975,46.46956,0.932138,0.258666,0.673472,52.062589,0.75453,5601.35238,0.933333,42,0.041667,1,0.958333,23,0.066667,3,0.976744,0.933333,0.954545,0.876382,0.968519,0.968312,0.942029,0.050362,0.949638,0.057971,0.944699,0.942029,0.94253,0.876382,0.968519,0.959849,0.937273,0.942029,0.009,0,0,0,0,0,3234,70273,9124,98.550725,57.971014,?,7,?
german_credit,1,1,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,900,100,71,29,0,71,29,0,0.289216,0.348032,0.465248,82.829664,101.525351,88.129157,4371.41092,-4283.281762,0.881292,43.714109,-42.832818,13.0563,0.130563,1480.587678,0.814286,57,0.533333,16,0.466667,14,0.185714,13,0.780822,0.814286,0.797203,0.290001,0.701429,0.830021,0.71,0.429048,0.570952,0.29,0.702131,0.71,0.70541,0.290001,0.701429,0.71385,0.644215,0.71,0.016,0.001,0.02,0,20,0,17315,181623,24023,95,91.5,?,92,?
german_credit,1,2,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,900,100,74,26,0,74,26,0,0.269663,0.336739,0.436319,80.142111,95.21258,88.129157,83.423232,4.705925,0.881292,0.834232,0.047059,15.66628,0.156663,1776.560052,0.928571,65,0.7,21,0.3,9,0.071429,5,0.755814,0.928571,0.833333,0.301869,0.703095,0.816729,0.74,0.511429,0.488571,0.26,0.721927,0.74,0.706061,0.301869,0.703095,0.731199,0.621212,0.74,0.015,0.001,0.01,0,10,0,11803,181623,24023,97,87,?,50,?
german_credit,1,3,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,900,100,73,27,0,73,27,0,0.311224,0.333612,0.435714,79.397876,95.080521,88.129157,1152.858532,-1064.729375,0.881292,11.528585,-10.647294,18.07481,0.180748,2049.687926,0.857143,60,0.566667,17,0.433333,13,0.142857,10,0.779221,0.857143,0.816327,0.316309,0.69881,0.807326,0.73,0.439524,0.560476,0.27,0.71502,0.73,0.718598,0.316309,0.69881,0.712325,0.653446,0.73,0.016,0.001,0.01,0,10,0,13456,181623,24023,99,98.5,?,63,?
german_credit,1,4,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,900,100,71,29,0,71,29,0,0.260204,0.359323,0.466597,85.51705,101.81969,88.129157,6511.189896,-6423.060738,0.881292,65.111899,-64.230607,11.305973,0.11306,1282.10016,0.842857,59,0.6,18,0.4,12,0.157143,11,0.766234,0.842857,0.802721,0.264455,0.675,0.792822,0.71,0.467143,0.532857,0.29,0.692885,0.71,0.697754,0.264455,0.675,0.68566,0.627776,0.71,0.016,0,0.01,0,10,0,17089,181623,24023,94,93.5,?,90,?
german_credit,1,5,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,900,100,66,34,0,66,34,0,0.158416,0.362364,0.429888,86.240702,93.809109,88.129157,76.873016,11.256142,0.881292,0.76873,0.112561,8.411193,0.084112,953.831354,0.785714,55,0.633333,19,0.366667,11,0.214286,15,0.743243,0.785714,0.763889,0.159198,0.711667,0.852652,0.66,0.507619,0.492381,0.34,0.647193,0.66,0.652579,0.159198,0.711667,0.73392,0.578373,0.66,0.015,0,0.01,0,10,0,9900,181623,24023,100,95.5,?,34,?
german_credit,1,6,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,900,100,72,28,0,72,28,0,0.195402,0.351274,0.456767,83.601449,99.674735,88.129157,4367.710279,-4279.581122,0.881292,43.677103,-42.795811,11.368039,0.11368,1289.138367,0.928571,65,0.766667,23,0.233333,7,0.071429,5,0.738636,0.928571,0.822785,0.228317,0.709048,0.833319,0.72,0.558095,0.441905,0.28,0.692045,0.72,0.675949,0.228317,0.709048,0.721466,0.578059,0.72,0.015,0.003,0.01,0,10,0,16335,181623,24023,96,92,?,85,?
german_credit,1,7,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,900,100,74,26,0,74,26,0,0.315789,0.335037,0.424474,79.736986,92.627799,88.129157,1147.988546,-1059.859389,0.881292,11.479885,-10.598594,16.914002,0.16914,1918.052017,0.885714,62,0.6,18,0.4,12,0.114286,8,0.775,0.885714,0.826667,0.327327,0.743571,0.844532,0.74,0.454286,0.545714,0.26,0.7225,0.74,0.722667,0.327327,0.743571,0.75489,0.653333,0.74,0.015,0,0.02,0,20,0,14498,181623,24023,99,98.5,?,71,?
german_credit,1,8,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,900,100,66,34,0,66,34,0,0.205607,0.374189,0.498992,89.055017,108.888914,88.129157,4385.300609,-4297.171452,0.881292,43.853006,-42.971715,4.913253,0.049133,557.164108,0.742857,52,0.533333,16,0.466667,14,0.257143,18,0.764706,0.742857,0.753623,0.205832,0.635,0.796299,0.66,0.450476,0.549524,0.34,0.666544,0.66,0.66302,0.205832,0.635,0.670032,0.602618,0.66,0.016,0,0.02,0,20,0,19646,181623,24023,92,83,?,113,?
german_credit,1,9,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,900,100,75,25,0,75,25,0,0.289773,0.304882,0.392607,72.560238,85.673834,88.129157,66.129193,21.999964,0.881292,0.661292,0.22,24.100479,0.241005,2733.000261,0.942857,66,0.7,21,0.3,9,0.057143,4,0.758621,0.942857,0.840764,0.330925,0.818333,0.911825,0.75,0.507143,0.492857,0.25,0.738727,0.75,0.714116,0.330925,0.818333,0.83734,0.629684,0.75,0.016,0.001,0.02,0,20,0,17516,181623,24023,100,94,?,95,?
